tier,total_vol,best_vol,best_keyword,slug,url,vol_1,vol_2,keyword_1,keyword_2,likely_sports
1,13700,12100,england vs italy,england-vs-italy,https://tabiji.ai/compare/england-vs-italy/,12100,1600,england vs italy,italy vs england,yes
1,13500,9900,argentina vs france,argentina-vs-france,https://tabiji.ai/compare/argentina-vs-france/,9900,3600,argentina vs france,france vs argentina,yes
1,13500,9900,germany vs slovakia,germany-vs-slovakia,https://tabiji.ai/compare/germany-vs-slovakia/,9900,3600,germany vs slovakia,slovakia vs germany,yes
1,13500,8100,honduras vs guatemala,honduras-vs-guatemala,https://tabiji.ai/compare/honduras-vs-guatemala/,8100,5400,honduras vs guatemala,guatemala vs honduras,yes
1,13500,9900,mexico vs portugal,mexico-vs-portugal,https://tabiji.ai/compare/mexico-vs-portugal/,9900,3600,mexico vs portugal,portugal vs mexico,yes
1,13200,6600,jamaica vs trinidad and tobago,jamaica-vs-trinidad-and-tobago,https://tabiji.ai/compare/jamaica-vs-trinidad-and-tobago/,6600,6600,jamaica vs trinidad and tobago,trinidad and tobago vs jamaica,yes
1,13100,12100,brazil vs chile,brazil-vs-chile,https://tabiji.ai/compare/brazil-vs-chile/,12100,1000,brazil vs chile,chile vs brazil,yes
1,13100,12100,liverpool vs milan,liverpool-vs-milan,https://tabiji.ai/compare/liverpool-vs-milan/,12100,1000,liverpool vs milan,milan vs liverpool,yes
1,12800,9900,norway vs israel,israel-vs-norway,https://tabiji.ai/compare/israel-vs-norway/,2900,9900,israel vs norway,norway vs israel,yes
1,12500,8100,california vs hawaii,california-vs-hawaii,https://tabiji.ai/compare/california-vs-hawaii/,8100,4400,california vs hawaii,hawaii vs california,
1,12500,8100,hungary vs ireland,hungary-vs-ireland,https://tabiji.ai/compare/hungary-vs-ireland/,8100,4400,hungary vs ireland,ireland vs hungary,yes
1,12310,12100,colombia vs new zealand,colombia-vs-new-zealand,https://tabiji.ai/compare/colombia-vs-new-zealand/,12100,210,colombia vs new zealand,new zealand vs colombia,yes
1,12300,9900,scotland vs denmark,denmark-vs-scotland,https://tabiji.ai/compare/denmark-vs-scotland/,2400,9900,denmark vs scotland,scotland vs denmark,yes
1,12240,12100,mexico vs south africa,mexico-vs-south-africa,https://tabiji.ai/compare/mexico-vs-south-africa/,12100,140,mexico vs south africa,south africa vs mexico,yes
1,11000,6600,canada vs ecuador,canada-vs-ecuador,https://tabiji.ai/compare/canada-vs-ecuador/,6600,4400,canada vs ecuador,ecuador vs canada,
1,11000,6600,portugal vs france,france-vs-portugal,https://tabiji.ai/compare/france-vs-portugal/,4400,6600,france vs portugal,portugal vs france,yes
1,11000,8100,germany vs luxembourg,germany-vs-luxembourg,https://tabiji.ai/compare/germany-vs-luxembourg/,8100,2900,germany vs luxembourg,luxembourg vs germany,yes
1,10780,9900,usa vs switzerland,switzerland-vs-usa,https://tabiji.ai/compare/switzerland-vs-usa/,880,9900,switzerland vs usa,usa vs switzerland,yes
1,10380,9900,brazil vs morocco,brazil-vs-morocco,https://tabiji.ai/compare/brazil-vs-morocco/,9900,480,brazil vs morocco,morocco vs brazil,yes
1,10200,6600,uruguay vs peru,peru-vs-uruguay,https://tabiji.ai/compare/peru-vs-uruguay/,3600,6600,peru vs uruguay,uruguay vs peru,yes
1,10110,9900,ecuador vs new zealand,ecuador-vs-new-zealand,https://tabiji.ai/compare/ecuador-vs-new-zealand/,9900,210,ecuador vs new zealand,new zealand vs ecuador,yes
1,10000,8100,mexico vs chile,chile-vs-mexico,https://tabiji.ai/compare/chile-vs-mexico/,1900,8100,chile vs mexico,mexico vs chile,yes
1,9800,5400,bahrain vs japan,bahrain-vs-japan,https://tabiji.ai/compare/bahrain-vs-japan/,5400,4400,bahrain vs japan,japan vs bahrain,yes
1,9800,5400,armenia vs georgia,georgia-vs-armenia,https://tabiji.ai/compare/georgia-vs-armenia/,4400,5400,georgia vs armenia,armenia vs georgia,yes
1,9800,5400,india vs uae,india-vs-uae,https://tabiji.ai/compare/india-vs-uae/,5400,4400,india vs uae,uae vs india,yes
1,9500,6600,netherlands vs germany,germany-vs-netherlands,https://tabiji.ai/compare/germany-vs-netherlands/,2900,6600,germany vs netherlands,netherlands vs germany,yes
1,9400,8100,jamaica vs curacao,curacao-vs-jamaica,https://tabiji.ai/compare/curacao-vs-jamaica/,1300,8100,curacao vs jamaica,jamaica vs curacao,
1,9000,6600,mexico vs brazil,brazil-vs-mexico,https://tabiji.ai/compare/brazil-vs-mexico/,2400,6600,brazil vs mexico,mexico vs brazil,yes
1,9000,6600,colombia vs portugal,colombia-vs-portugal,https://tabiji.ai/compare/colombia-vs-portugal/,6600,2400,colombia vs portugal,portugal vs colombia,yes
1,9000,5400,seattle vs toronto,seattle-vs-toronto,https://tabiji.ai/compare/seattle-vs-toronto/,5400,3600,seattle vs toronto,toronto vs seattle,
1,8800,4400,argentina vs spain,argentina-vs-spain,https://tabiji.ai/compare/argentina-vs-spain/,4400,4400,argentina vs spain,spain vs argentina,yes
1,8800,4400,greece vs turkey,greece-vs-turkey,https://tabiji.ai/compare/greece-vs-turkey/,4400,4400,greece vs turkey,turkey vs greece,yes
1,8580,8100,costa rica vs dominican republic,costa-rica-vs-dominican-republic,https://tabiji.ai/compare/costa-rica-vs-dominican-republic/,8100,480,costa rica vs dominican republic,dominican republic vs costa rica,yes
1,8300,5400,chile vs uruguay,chile-vs-uruguay,https://tabiji.ai/compare/chile-vs-uruguay/,5400,2900,chile vs uruguay,uruguay vs chile,yes
1,8300,5400,italy vs estonia,estonia-vs-italy,https://tabiji.ai/compare/estonia-vs-italy/,2900,5400,estonia vs italy,italy vs estonia,yes
1,8300,5400,norway vs estonia,estonia-vs-norway,https://tabiji.ai/compare/estonia-vs-norway/,2900,5400,estonia vs norway,norway vs estonia,yes
1,8300,5400,jordan vs morocco,morocco-vs-jordan,https://tabiji.ai/compare/morocco-vs-jordan/,2900,5400,morocco vs jordan,jordan vs morocco,yes
1,8300,5400,nepal vs netherlands,nepal-vs-netherlands,https://tabiji.ai/compare/nepal-vs-netherlands/,5400,2900,nepal vs netherlands,netherlands vs nepal,yes
1,8300,5400,usa vs portugal,portugal-vs-usa,https://tabiji.ai/compare/portugal-vs-usa/,2900,5400,portugal vs usa,usa vs portugal,yes
1,8200,6600,england vs new zealand,england-vs-new-zealand,https://tabiji.ai/compare/england-vs-new-zealand/,6600,1600,england vs new zealand,new zealand vs england,yes
1,7800,5400,jamaica vs bermuda,bermuda-vs-jamaica,https://tabiji.ai/compare/bermuda-vs-jamaica/,2400,5400,bermuda vs jamaica,jamaica vs bermuda,
1,7600,6600,mexico vs jamaica,jamaica-vs-mexico,https://tabiji.ai/compare/jamaica-vs-mexico/,1000,6600,jamaica vs mexico,mexico vs jamaica,yes
1,7300,4400,georgia vs bulgaria,bulgaria-vs-georgia,https://tabiji.ai/compare/bulgaria-vs-georgia/,2900,4400,bulgaria vs georgia,georgia vs bulgaria,yes
1,7300,4400,poland vs finland,finland-vs-poland,https://tabiji.ai/compare/finland-vs-poland/,2900,4400,finland vs poland,poland vs finland,yes
1,7300,4400,south korea vs oman,south-korea-vs-oman,https://tabiji.ai/compare/south-korea-vs-oman/,4400,2900,south korea vs oman,oman vs south korea,yes
1,7200,3600,belgium vs north macedonia,belgium-vs-north-macedonia,https://tabiji.ai/compare/belgium-vs-north-macedonia/,3600,3600,belgium vs north macedonia,north macedonia vs belgium,yes
1,7080,6600,barcelona vs frankfurt,barcelona-vs-frankfurt,https://tabiji.ai/compare/barcelona-vs-frankfurt/,6600,480,barcelona vs frankfurt,frankfurt vs barcelona,yes
1,7000,5400,england vs finland,england-vs-finland,https://tabiji.ai/compare/england-vs-finland/,5400,1600,england vs finland,finland vs england,yes
1,7000,5400,france vs england,france-vs-england,https://tabiji.ai/compare/france-vs-england/,5400,1600,france vs england,england vs france,yes
1,6800,4400,slovenia vs sweden,slovenia-vs-sweden,https://tabiji.ai/compare/slovenia-vs-sweden/,4400,2400,slovenia vs sweden,sweden vs slovenia,yes
1,6500,3600,ireland vs armenia,armenia-vs-ireland,https://tabiji.ai/compare/armenia-vs-ireland/,2900,3600,armenia vs ireland,ireland vs armenia,yes
1,6500,3600,sweden vs england,england-vs-sweden,https://tabiji.ai/compare/england-vs-sweden/,2900,3600,england vs sweden,sweden vs england,yes
1,6500,3600,lithuania vs greece,greece-vs-lithuania,https://tabiji.ai/compare/greece-vs-lithuania/,2900,3600,greece vs lithuania,lithuania vs greece,yes
